Name,Rating,Tweet,cuisines,Sentiment,Current_Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XO Belgian Waffle,3.2,Caused me #FOODPOISONING with #Stomachache. #FOODSAFETY,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XO Belgian Waffle,2.2,7 people reported of #Diarrhea after having the combo meal @XO Belgian Waffle,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poonam Sweets,3.7,#Healthy #sugarfree sweets...suitable for #Diabetic #Patients.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poonam Sweets,2.3,Absolutely #UNHealthy food could have been tasted far better. Unsuitable for #Diabetic patients #EATHEALTHY,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poonam Sweets,2.7,#BADFOOD #Unhealthy food. Money is wasted,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poonam Sweets,2.3,The hard fried chickens at @Puliyogare Point near the station caused me #Diarrhea.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Venkateshwara North Karnataka Hotel,2.8,#Rotten #Smelly dishes. Can't understand when it was cooked. Surely will be having #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Venkateshwara North Karnataka Hotel,2.4,7 people reported of #Diarrhea after having the combo meal. #FOODPOISONING ,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Venkateshwara North Karnataka Hotel,2.7,Caused me #FOODPOISONING with #Stomachache. #FOODSAFETY,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Venkateshwara North Karnataka Hotel,2.3,Almost died of #FOODPOISONING today!!!! #Worse meal ever,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodee Pizza,2.2,Why on earth I always have #Diarrhea after the pizzas @Woodee Pizza.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodee Pizza,2.3,The hard fried chickens at @Woodee Pizza near the station caused me #Diarrhea.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodee Pizza,2.6,Diagonised with #Salmonella infection. Got #Typhoid,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodee Pizza,2.3,Got severely #Diseased after having the meal. Got #Typhoid and #Diarrhea. Really think that getting to Yamraj.......@Yummraj,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baisakhi,2,Found floating #Cockroaches in the food. Sure to get #Cholera,"North Indian, European, Mediterranean, BBQ, Kebab",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baisakhi,2.8,Initially #Tasty food but caused severe #FOODPOISONING. ,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baisakhi,2.2,7 people reported of #Diarrhea after having the combo meal @Baisakhi,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baisakhi,2.4,#FOODPOISONING took the life of 2 children after they had tiffin from @Baisakhi,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat Well,3.2,Rotten food served #stomachache,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat Well,2.2,Severe #Vomitting and #Typhoid after the meal.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat Well,3.2,#Average tasty #Unhealthy food.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat Well,2.5,#Uncooked food,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Village,3.7,Food was good Got easily #Digested. #Stomach friendly diet served. #GOODFOOD,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Village,3.1,#Average tasty #Unhealthy food.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Village,2.7,#Expensive and not upto the mark....... not #Stomach #friendly,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Village,2.5,Severe #Vomitting and #Typhoid after the meal.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deja Vu Resto Bar,3.3,Rotten food served #stomachache,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deja Vu Resto Bar,2.7,#Indigestion and #Bloating after the lunch.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deja Vu Resto Bar,3.6,Biriyani was #light #Stomachfriendly and #Healthy. #GoodFood,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deja Vu Resto Bar,2.6,#Typhoid and #FoodPoisoning occured after the food.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFC,2.5,#Uncooked food,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFC,2.3,The hard fried chickens at @Woodee Pizza near the station caused me #Diarrhea.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFC,2.7,#Expensive and not upto the mark....... not #Stomach #friendly,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFC,2.6,Why on earth I always have #Diarrhea after the pizzas @kfc.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kullad Cafe,3.7,#Healthy #Tasty #Cheap meal. #EATSAFE,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kullad Cafe,3.8,Nicely #cooked #squid. Deserves a 5star. Caused no #Illness.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kullad Cafe,3.6,#Good Food,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kullad Cafe,2.6,#Uncooked pork served. Caused me #Tapeworm. Severe illness along with unbearable #StomachPain #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Paradise,2.3,Burgers smelt horrible. #FOODPOISONING #DIARRHEA,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Paradise,2.3,Almost died of #FOODPOISONING today!!!! #Worse meal ever,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Paradise,3.6,#Healthy food,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaitoon,2.2,#Typhoid and #FoodPoisoning occured after the food.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaitoon,2.3,Diagonised with #Salmonella infection. Got #Typhoid,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaitoon,3.6,Very #Tasty & #Stomach #Friendly diet.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaitoon,2.6,Bad Food #tapeworm found!!,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel New Karavali,2.3,Caused me #FOODPOISONING with #Stomachache. #FOODSAFETY,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel New Karavali,2.2,Having severe #Stomachache since i've taken the food. Diagonised with #Typhoid,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel New Karavali,3.7,#Healthy #Tasty #Cheap meal. #EATSAFE,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel New Karavali,2.7,#TapeWorm after having the #Pork  #BadFood,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penthouse Cafe,2,Severe #Vomitting and #Typhoid after the meal.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penthouse Cafe,2.2,Almost died of #FOODPOISONING today!!!! #Worse meal ever,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penthouse Cafe,2.5,#Expensive and not upto the mark....... not #Stomach #friendly,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penthouse Cafe,2.7,Why on earth I always have #Diarrhea after the pizzas @PizzaHut.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke - The Sizzler House,2.2,Bad Food #tapeworm found!!,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke - The Sizzler House,2.4,Caused me #FOODPOISONING with #Stomachache. #FOODSAFETY,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke - The Sizzler House,3.6,#Good Food,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke - The Sizzler House,2.7,7 people reported of #Diarrhea after having the grilled chicken @Soho.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Krishna Grand,2.3,Unhealthy food. Caused #vomiting,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Krishna Grand,2.1,Suffering from #Typhoid for last 4 days after the meal,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Krishna Grand,3.3,#SouthIndian bada caused me #StomachAche and #Vommitiing,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Krishna Grand,2.7,Suffering from #Typhoid for last 4 days after the meal from @Pavillion.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAFL,2.4,#Expensive and not upto the mark....... not #Stomach #friendly,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAFL,2.1,Diagonised with #Salmonella infection. Got #Typhoid,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAFL,3.7,#SouthIndian sambhar tasted fantastic. Got easily #Digested. #GoodFood,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAFL,2.7,#Bad taste though less #Spicy and #Friendly,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang's - Chinese Restaurant,4.4,Good healthy food.....easily #digested.#GOODFOOD,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang's - Chinese Restaurant,2.1,Unhealthy food. Caused #vomiting,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2B - Adyar Ananda Bhavan,3.8,Nicely #cooked #squid. Deserves a 5star. Caused no #Illness.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2B - Adyar Ananda Bhavan,2.1,Very #Unhealthy food. Caused me #FoodPoisoning for 8days,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2B - Adyar Ananda Bhavan,1.9,#Worse food ever tasted i  the city. Too #Unhealthy and #Unhygenic. Caused me severe #Diarrhoea,"North Indian, European, Mediterranean, BBQ, Kebab",0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2B - Adyar Ananda Bhavan,2.4,#Average tasty #Unhealthy food.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Tang,2.2,Unhealthy food. Caused #vomiting,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Tang,2.4,#Expensive and not upto the mark....... not #Stomach #friendly,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Ka Masti,3.4,Food was #Good.Tasted #Average. #Unhealthy though and very #Spicy,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Ka Masti,1.8,Diagonised with #Salmonella infection. Got #Typhoid,"North Indian, European, Mediterranean, BBQ, Kebab",0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangaliana,4.5,The most #Healthy #Bengali dishes ever served,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangaliana,3.9,Thank you for such a good. Never got a #Stomachache......... #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangaliana,4.4,Best #Bengali dishes ever got to taste. Deserve a very good rating. #EAT SAFE,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangaliana,4.7,Very healthy! Will never have diseases! ,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharjari Oota,2.4,Throw away your epired foods.......getting us sick is not your committment...... #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharjari Oota,2.1,#Worse food ever tasted i  the city. Too #Unhealthy and #Unhygenic. Caused me severe #Diarrhoea,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharjari Oota,3.2,#Average food. Though #Expensive,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharjari Oota,2.2,Suffering from #Typhoid for last 4 days after the meal,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavani Restaurant,4.5,The most #Healthy #Bengali dishes ever served,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavani Restaurant,3.9,Thank you for such a good. Never got a #Stomachache......... #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavani Restaurant,4.4,Best #Bengali dishes ever got to taste. Deserve a very good rating. #EAT SAFE,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavani Restaurant,4.7,Very healthy! Will never have diseases! ,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat Repeat,2.2,Suffering from #Typhoid for last 4 days after the meal,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat Repeat,2.3,Suffering from #Typhoid for last 4 days after the meal,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian Express,2.1,#Uncooked pork served. Caused me #Tapeworm. Severe illness along with unbearable #StomachPain #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian Express,1.9,What!!!!!Did they said #Rat instead of #Chicken?? what about your trust?? #FOODSAFETY,"North Indian, European, Mediterranean, BBQ, Kebab",0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolkata Famous Kati Roll,4.5,The most #Healthy #Bengali dishes ever served,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolkata Famous Kati Roll,3.9,Thank you for such a good. Never got a #Stomachache......... #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolkata Famous Kati Roll,4.4,Best #Bengali dishes ever got to taste. Deserve a very good rating. #EAT SAFE,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolkata Famous Kati Roll,3.9,Best #Bengali dishes ever got to taste. Deserve a very good rating. #EAT SAFE,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madeena Hotel,2.2,#SouthIndian bada caused me #StomachAche and #Vommitiing,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madeena Hotel,2.4,Extremely #unhygenic.......caused me #Diarrohea alongside #Vommitting and unbearable #Stomachache,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Kabab Zone,2.1,#Uncooked pork served. Caused me #Tapeworm. Severe illness along with unbearable #StomachPain #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Kabab Zone,1.9,7 people reported of #Diarrhea after having the combo meal @NewPrasanth,"North Indian, European, Mediterranean, BBQ, Kebab",0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pappu Da Dhaba,2.2,Extremely #unhygenic.......caused me #Diarrohea alongside #Vommitting and unbearable #Stomachache,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pappu Da Dhaba,2.4,Absolutely #UNHealthy food could have been tasted far better. Got #Diarrhea. #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sai Abhiruchi,3,Chicken inside the sandwich was #rotten and was #badsmelling. Surely shall be getting #foodpoison.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sai Abhiruchi,2.6,Burgers smelt horrible. #FOODPOISONING #DIARRHEA,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sai Abhiruchi,2.2,Suffering from #Typhoid for last 4 days after the meal from @Pavillion.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spice Elephant,2.4,Rotten food served #stomachache,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spice Elephant,2.9,#Average tasty #Unhealthy food.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upahara Darshini,3.9,Very #Tasty & #Stomach #Friendly diet.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upahara Darshini,2.9,#Average tasty #Unhealthy food.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zephyr,4.5,The most #Healthy #Bengali dishes ever served,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
